name,href,role,profile_id
Ramesh kumar,https://www.cricbuzz.com/profiles/24281/ramesh-kumar,bench,24281
Rovman powell,https://www.cricbuzz.com/profiles/11445/rovman-powell,playing_11,11445
Tilak varma,https://www.cricbuzz.com/profiles/14504/tilak-varma,playing_11,14504
Tymal mills,https://www.cricbuzz.com/profiles/7860/tymal-mills,playing_11,7860
Ashwin hebbar,https://www.cricbuzz.com/profiles/10254/ashwin-hebbar,bench,10254
Yash dhull,https://www.cricbuzz.com/profiles/22556/yash-dhull,bench,22556
Vicky ostwal,https://www.cricbuzz.com/profiles/22616/vicky-ostwal,bench,22616
Aryan juyal,https://www.cricbuzz.com/profiles/13388/aryan-juyal,bench,13388
Dewald brevis,https://www.cricbuzz.com/profiles/20538/dewald-brevis,bench,20538
Sanjay yadav,https://www.cricbuzz.com/profiles/11631/sanjay-yadav,bench,11631
Ramandeep singh,https://www.cricbuzz.com/profiles/12337/ramandeep-singh,bench,12337
Hrithik shokeen,https://www.cricbuzz.com/profiles/14595/hrithik-shokeen,bench,14595
Rahul buddhi,https://www.cricbuzz.com/profiles/16584/rahul-buddhi,bench,16584
Arshad khan,https://www.cricbuzz.com/profiles/18637/arshad-khan,bench,18637
Bhanuka rajapaksa,https://www.cricbuzz.com/profiles/7869/bhanuka-rajapaksa,wicket_keeper,7869
Odean smith,https://www.cricbuzz.com/profiles/11215/odean-smith,playing_11,11215
Raj bawa,https://www.cricbuzz.com/profiles/22601/raj-bawa,playing_11,22601
David willey,https://www.cricbuzz.com/profiles/6592/david-willey,playing_11,6592
Rishi dhawan,https://www.cricbuzz.com/profiles/8616/rishi-dhawan,bench,8616
Benny howell,https://www.cricbuzz.com/profiles/6641/benny-howell,bench,6641
Baltej singh,https://www.cricbuzz.com/profiles/8962/baltej-singh,bench,8962
Writtick chatterjee,https://www.cricbuzz.com/profiles/9717/writtick-chatterjee,bench,9717
Jitesh sharma,https://www.cricbuzz.com/profiles/10214/jitesh-sharma,bench,10214
Prerak mankad,https://www.cricbuzz.com/profiles/11054/prerak-mankad,bench,11054
Atharva taide,https://www.cricbuzz.com/profiles/13914/atharva-taide,bench,13914
Ansh patel,https://www.cricbuzz.com/profiles/19262/ansh-patel,bench,19262
Luvnith sisodia,https://www.cricbuzz.com/profiles/13972/luvnith-sisodia,bench,13972
Chama v milind,https://www.cricbuzz.com/profiles/9281/chama-v-milind,bench,9281
Aneeshwar gautam,https://www.cricbuzz.com/profiles/22586/aneeshwar-gautam,bench,22586
Matthew wade,https://www.cricbuzz.com/profiles/1649/matthew-wade,wicket_keeper,1649
Abhinav manohar,https://www.cricbuzz.com/profiles/10499/abhinav-manohar,playing_11,10499
Varun aaron,https://www.cricbuzz.com/profiles/6293/varun-aaron,playing_11,6293
Ayush badoni,https://www.cricbuzz.com/profiles/13907/ayush-badoni,playing_11,13907
